Name,Taxon name,Taxon type,Taxon ID,Group,Order,Family_Scientific,Family_English,Subspecies,Authority,Breeding Range,Breeding Range-Subregion,Nonbreeding Range,Code,Comment
Cream-vented Bulbul,Pycnonotus simplex,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Lesson, 1839)",OR,Malay Peninsula to Borneo,,,
Crested Fireback,Lophura ignita,Species,,Avifauna,Galliformes,Phasianidae,Pheasants and allies,,"(Shaw, 1798)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Crested Goshawk,Accipiter trivirgatus,Species,,Avifauna,,,,,,,,,,
Crested Honey Buzzard,Pernis ptilorhynchus,Species,,Avifauna,,,,,,,,,,
Crested Jay,Platylophus galericulatus,Species,,Avifauna,Passeriformes,Corvidae,"Crows, Jays",,"(Cuvier, 1816)",OR,"Malay Peninsula, Sumatra, Java, Borneo",,PHY,"Platylophus is probably a shrike, not a jay (Jønsson et al. 2008b)"
Crested Serpent Eagle,Spilornis cheela,Species,2480433,Avifauna,Accipiriformes,Accipitridae,"Kites, Hawks and Eagles",,"(Latham, 1790)",OR,widespread,,,
Crested Toad,Ingerophrynus divergens,Species,,Herpetofauna,,,,,,,,,,
Cricket Frog,Fejervarya limnocharis,Species,2430396,Herpetofauna,Anura,Ranidae,True Frogs,,"(Stoliczka, 1870)",NA,"Philippines, Indonesia, Malaysia, Thailaind, India (Nicobar Island)",,,
Crimson Sunbird,Aethopyga siparaja,Species,,Avifauna,Passeriformes,Nectariniidae,Sunbirds,,"(Raffles, 1822)",OR,"widespread, also Sulawesi",,,
Crow,Corvus,Genus,,Avifauna,,,,,,,,,,
Cuckoo,Cuculidae,Family,,Avifauna,,,,,,,,,,
Dark Eared Tree Frog,Polypedates macrotis,Species,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,"(Boulenger, 1891)",NA,"Thailand, Phillipines, Malaysia",,,
Dark-necked Tailorbird,Orthotomus atrogularis,Species,,Avifauna,Passeriformes,Cisticolidae,Cisticolas and allies,humphreysi,"(Chasen & Kloss, 1929)",OR,ne Borneo,,,
Dark-sided Flycatcher,Muscicapa sibirica,Species,,Avifauna,,,,,,,,,,
Dark-throated Oriole,Oriolus xanthonotus,Species,,Avifauna,Passeriformes,Oriolidae,"Figbirds, Orioles & Turnagra",,"(Horsfield, 1821)",OR,Southeast Asia through Borneo and Philippines,,,
Deer,Cervidae,Family,,NA,Squamata,Cervidae,deer,,NA,NA,,,,
Diards Trogon,Harpactes diardii,Species,,Avifauna,Trogoniformes,Trogonidae,Trogons,,"(Temminck, 1832)",OR,"Malay Peninsula,Sumatra, Borneo",,,
Dicaeidae,Dicaeidae,Family,,Avifauna,,,,,,,,,,
Dog,Canidae,Family,,NA,,,,,,,,,,
Dollarbird,Eurystomus orientalis,Species,,Avifauna,,,,,,,,,,
Dring's Slender Litter Frog,Leptolalax dringi,Species,,Herpetofauna,Anura,Megophryidae,Litter Frogs,,"(Dubois, 1987)",Endemic,Northern to central Borneo,,,
Dusky Munia,Lonchura fuscans,Species,,Avifauna,Passeriformes,Estrildidae,"Waxbills, Munias and allies",,"(Cassin, 1852)",OR,"Borneo, Philippines",,,
Dwarf Litter Frog,Leptobrachella,Genus,,Herpetofauna,,,,,,,,,,
Dwarf Slender Toad,Ansonia minuta,Species,,Herpetofauna,,,,,,,,,,
Eagle,Accipitridae,Family,,Avifauna,,,,,,,,,,
Emerald dove,Chalcophaps indica,Species,,Avifauna,,,,,,,,,,
Green Paddy Frog,Hylarana erythraea,Species,,Herpetofauna,,,,,,,,,,
Eurylaimus,Eurylaimus,Genus,,Avifauna,,,,,,,,,,
Ferruginous Babbler,Trichastoma bicolor,Species,,Avifauna,Passeriformes,Pellorneidae,"Fulvettas, Ground Babblers",,"(Lesson, R, 1839)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Fiery Minivet,Pericrocotus igneus,Species,,Avifauna,,,,,,,,,,
File Eared Tree Frog,Polypedates otilophus,Species,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,"(Boulenger, 1893)",NA,"Java, Sumatra, Borneo",,,
Finschs Bulbul,Alophoixus finschii,Species,,Avifauna,,,,,,,,,,
Flowerpecker,Dicaeidae,Family,,Avifauna,,,,,,,,,,
Fluffy-backed Tit-babbler,Macronus ptilosus,Species,,Avifauna,Passeriformes,Timaliidae,"Babblers, Scimitar Babblers",,"(Jardine & Selby, 1835)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Flycatcher,Muscicapidae,Family,,Avifauna,,,,,,,,,,
Four-lined Tree Frog,Polypedates leucomystax,Species,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,"(Gravenhorst, 1829)",NA,"India, South East Asia, Nepal, Japan (Ryukyus)",,,
Frilled Tree Frog,Kurixalus,Genus,2423830,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,"(Gunther, 1858)",NA,"India, Indonesia, Thailand, Malaysia",,,
Frog,Anura,Order,,Herpetofauna,,,,,,,,,,
Giant Creek Frog,Limnonectes leporinus,Species,,Herpetofauna,,,,,,,,,,
Giant River Toad,Phrynoidis juxtaspera,Species,,Herpetofauna,Anura,Bufonidae,True Toads,,"(Inger, 1964)",Endemic,Borneo,,,
Gliding Frog,Rhacophorus,Genus,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,NA,NA,,,,
Golden-bellied Gerygone,Gerygone sulphurea,Species,,Avifauna,Passeriformes,Acanthizidae,Australasian Warblers,,"(Wallace, 1864)","OR, AU","Malay Peninsula, Sundas, Philippines, also Sulawesi",,,
Golden-whiskered Barbet,Psilopogon chrysopogon,Species,,Avifauna,Piciformes,Megalaimidae,Asian Barbets,,"(Temminck, 1824)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Grass Frog,Fejervarya limnocharis,Species,,Herpetofauna,Anura,Dicroglossidae,True Frogs II,,"(Gravenhorst, 1829)",NA,South East Asia,,,
Great Argus,Argusianus argus,Species,,Avifauna,Galliformes,Phasianidae,Pheasants and allies,,"(Linnaeus, 1766)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Great Slaty Woodpecker,Mulleripicus pulverulentus,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Temminck, 1826)",OR,widespread,,,
Greater Coucal,Centropus sinensis,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Stephens, 1815)",NA,,,,
Green Crested Lizard,Bronchocela cristatella,Species,,Herpetofauna,,,,,,,,,,
Green Iora,Aegithina viridissima,Species,,Avifauna,Passeriformes,Aegithinidae,Ioras,,"(Bonaparte, 1850)",OR,"Southeast Asia, Sumatra, Borneo",,,
Greater Green Leafbird,Chloropsis sonnerati,Species,,Avifauna,,,,,,,,,,
Green Broadbill,Calyptomena viridis,Species,,Avifauna,,,,,,,,,,
Green Imperial-Pigeon,Ducula aenea,Species,,Avifauna,,,,,,,,,,
Grey Wagtail,Motacilla cinerea,Species,,Avifauna,,,,,,,,,,
Grey-and-buff Woodpecker,Hemicircus concretus,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Temminck, 1821)",OR,"Malay Peninsula, Greater Sundas",,,
Grey-cheeked Bulbul,Alophoixus bres,Species,,Avifauna,,,,,,,,,,
Grey-chested Jungle Flycatcher,Cyornis umbratilis,Species,,Avifauna,Passeriformes,Muscicapidae,"Chats, Old World Flycatchers",,"(Strickland, 1849)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Grey-headed Babbler,Stachyris poliocephala,Species,,Avifauna,,,,,,,,,,
Grey-streaked Flycatcher,Muscicapa griseisticta,Species,,Avifauna,,,,,,,,,,
Hairy-backed Bulbul,Tricholestes criniger,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Blyth, 1845)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Helmeted Hornbill,Rhinoplax vigil,Species,,Avifauna,Bucerotiformes,Bucerotidae,Hornbills,,"(Forster, JR, 1781)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Hemiprocne,Hemiprocne,Genus,,Avifauna,,,,,,,,,,
Hooded Pitta,Pitta sordida,Species,,Avifauna,Passeriformes,Pittidae,Pittas,,"(Statius Müller, PL, 1776)","OR, AU",Himalayas to New Guinea,,,
Hornbill,Bucerotidae,Family,,Avifauna,,,,,,,,,,
Hose's Bush Frog,Philautus hosii,Species,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,"(Boulenger, 1895)",Endemic,Borneo,,,
House Gecko,Hemidactylus frenatus,Species,,Herpetofauna,Squamata,Gekkonidae,Geckos,,"(Schlegel, 1836)",NA,,,,
Human noise,Homo sapiens,Species,,NA,,,,,NA,NA,,,,
Indian Cuckoo,Cuculus micropterus,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Gould, 1838)",OR,"widespread, also e Asia",,,
Insect,Insecta,Class,,NA,,,,,,,,,,
King Quail,Excalfactoria chinensis,Species,,Avifauna,Galliformes,Phasianidae,Pheasants and allies,,"(Linnaeus, 1766)","OR, AU",widespread,,,
Kuhl's Creek Frog,Limnonectes kuhlii,Species,,Herpetofauna,Anura,Dicroglossidae,True Frogs II,,"(Tschudi, 1838)",NA,"Java, Sulawesi, Indochina, Malaysia",,,
Large White-lipped Frog,Litoria infrafrenata,Species,,Herpetofauna,,,,,,,,,,
Large Woodshrike,Tephrodornis virgatus,Species,,Avifauna,,,,,,,,,,
Large-tailed Nightjar,Caprimulgus macrurus,Species,,Avifauna,Caprimulgiformes,Caprimulgidae,Nightjars,salvadorii,"(Sharpe, 1875)",NA,,,,
Leafbird,Chloropseidae,Family,,Avifauna,,,,,,,,,,
Leopard Cat,Prionailurus bengalensis,Species,,NA,,,,,,,,,,
Lesser Coucal,Centropus bengalensis,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,javanensis,"(Dumont, 1818)",NA,,,,
Lesser Cuckoo-shrike,Lalage fimbriata,Species,,Avifauna,,,,,,,,,,
