field_type,ID,ID,Location,Date,Time,Comments,Numeric,Numeric,Comments
description,Point count location,Audio file ID,Location in the SAFE landscape,Date of recording,Time of recording,Weather conditions of recording,Research assistant,Research assistant,Notes
units,,,,dd/mm/yy,hh:mm:ss,,Binary,Binary,
method,,,,,,Observation,Research assistant,Research assistant,
field_name,Point_count_ID,Audio_file,Site,Date,Time,Weather,Adi_Syamin,Jani,Notes
96,18_04_03_6,PC0000_0099,C10 621,4/3/2018,09:00:00 PM,dark,1,1,NA
97,18_04_04_1,PC0000_0100,D Matrix,4/4/2018,03:00:00 PM,clouded,1,1,NA
98,18_04_04_2,PC0000_0101,D Matrix,4/4/2018,04:00:00 PM,clouded,1,1,NA
99,18_04_04_3,PC0000_0102,D Matrix,4/4/2018,05:00:00 PM,sun,1,1,NA
100,18_04_04_4,PC0000_0103,D Matrix,4/4/2018,06:00:00 PM,dusk,1,1,NA
101,18_04_04_5,PC0000_0104,D Matrix,4/4/2018,07:00:00 PM,dark,1,1,NA
102,18_04_04_6,PC0000_0105,D Matrix,4/4/2018,08:00:00 PM,dark,1,1,NA
103,18_04_05_1,PC0000_0106,C Matrix,4/5/2018,03:00:00 PM,clouded,1,1,NA
104,18_04_05_2,PC0000_0107,C Matrix,4/5/2018,04:00:00 PM,sun,1,1,NA
105,18_04_05_3,PC0000_0109,C Matrix,4/5/2018,05:00:00 PM,sun,1,1,NA
106,18_04_05_4,PC0000_0110,C Matrix,4/5/2018,06:00:00 PM,dusk,1,1,NA
107,18_04_05_5,PC0000_0111,C Matrix,4/5/2018,07:00:00 PM,dark,1,1,NA
108,18_04_05_6,PC0000_0112,C Matrix,4/5/2018,08:00:00 PM,dark,1,1,NA
109,18_04_06_1,PC0000_0113,VJR 2,4/6/2018,06:10:00 PM,dusk,1,1,NA
110,18_04_06_2,PC0000_0114,VJR 2,4/6/2018,07:00:00 PM,dark,1,1,NA
111,18_04_06_3,PC0000_0115,VJR 2,4/6/2018,08:00:00 PM,dark,1,1,NA
112,18_04_06_4,PC0000_0116,VJR 2,4/6/2018,09:00:00 PM,dark,1,1,NA
113,18_04_06_5,PC0000_0117,VJR 2,4/6/2018,10:00:00 PM,dark,1,1,NA
114,18_04_06_6,PC0000_0118,VJR 2,4/6/2018,11:00:00 PM,dark,1,1,NA
115,18_04_07_1,PC0000_0119,E100 edge,4/7/2018,05:13:00 PM,sun,0,1,First hour missed because got lost
116,18_04_07_2,PC0000_0120,E100 edge,4/7/2018,06:00:00 PM,dusk,0,1,NA
117,18_04_07_3,PC0000_0121,E100 edge,4/7/2018,07:00:00 PM,dark,0,1,NA
118,18_04_07_4,PC0000_0122,E100 edge,4/7/2018,08:00:00 PM,dark,0,1,NA
119,18_04_07_5,PC0000_0123,E100 edge,4/7/2018,09:00:00 PM,dark,0,1,NA
120,18_04_09_1,PC0000_0124,B10,4/9/2018,09:00:00 PM,dark,0,1,NA
121,18_04_09_2,PC0000_0125,B10,4/9/2018,10:00:00 PM,dark,0,1,NA
122,18_04_09_3,PC0000_0126,B10,4/9/2018,11:00:00 PM,dark,0,1,NA
123,18_04_09_4,PC0000_0127,B10,4/10/2018,12:00:00 AM,dark,0,1,NA
124,18_04_09_5,PC0000_0128,B10,4/10/2018,01:00:00 AM,dark,0,1,NA
125,18_04_09_6,PC0000_0129,B10,4/10/2018,02:00:00 AM,dark,0,1,NA
126,18_04_10_1,PC0000_0130,E1 648,4/10/2018,09:11:00 PM,dark,0,1,NA
127,18_04_10_2,PC0000_0131,E1 648,4/10/2018,10:00:00 PM,dark,0,1,NA
128,18_04_10_3,PC0000_0132,E1 648,4/10/2018,11:00:00 PM,dark,0,1,NA
129,18_04_10_4,PC0000_0133,E1 648,4/11/2018,12:00:00 AM,dark,0,1,NA
130,18_04_10_5,PC0000_0134,E1 648,4/11/2018,01:00:00 AM,dark,0,1,NA
131,18_04_10_6,PC0000_0135,E1 648,4/11/2018,02:00:00 AM,dark,0,1,NA
132,18_04_11_1,PC0000_0136,D Matrix,4/11/2018,09:00:00 PM,dark,0,1,NA
133,18_04_11_2,PC0000_0137,D Matrix,4/11/2018,10:00:00 PM,dark,0,1,NA
134,18_04_11_3,PC0000_0138,D Matrix,4/11/2018,11:00:00 PM,dark,0,1,NA
135,18_04_11_4,PC0000_0139,D Matrix,4/12/2018,12:00:00 AM,dark,0,1,NA
136,18_04_11_5,PC0000_0140,D Matrix,4/12/2018,01:00:00 AM,dark,0,1,NA
137,18_04_11_6,PC0000_0141,D Matrix,4/12/2018,02:00:00 AM,dark,0,1,NA
138,18_04_12_1,PC0000_0142,E100 edge,4/12/2018,10:20:00 PM,dark,1,1,NA
139,18_04_12_2,PC0000_0143,E100 edge,4/12/2018,11:00:00 PM,dark,1,1,NA
140,18_04_12_3,PC0000_0144,E100 edge,4/13/2018,12:00:00 AM,dark,1,1,NA
141,18_04_12_4,PC0000_0145,E100 edge,4/13/2018,01:00:00 AM,dark,1,1,NA
142,18_04_12_5,PC0000_0146,E100 edge,4/13/2018,02:00:00 AM,dark,1,1,NA
143,18_04_12_6,PC0000_0147,E100 edge,4/13/2018,03:00:00 AM,dark,1,1,NA
144,18_04_13_1,PC0000_0148,D100 641,4/13/2018,09:00:00 PM,dark,1,1,NA
145,18_04_13_2,PC0000_0149,D100 641,4/13/2018,10:00:00 PM,dark,1,1,NA
146,18_04_13_3,PC0000_0150,D100 641,4/13/2018,11:00:00 PM,dark,1,1,NA
147,18_04_13_4,PC0000_0151,D100 641,4/14/2018,12:00:00 AM,dark,1,1,NA
148,18_04_13_5,PC0000_0152,D100 641,4/14/2018,01:00:00 AM,dark,1,1,NA
149,18_04_13_6,PC0000_0153,D100 641,4/14/2018,02:00:00 AM,dark,1,1,NA
150,18_04_15_1,PC0000_0154,C Matrix,4/15/2018,09:00:00 PM,dark,1,1,SD-card of recorder full during point count
151,18_04_15_2,PC0000_0155,C Matrix,4/15/2018,10:00:00 PM,dark,1,1,started raining during point count
152,18_04_15_3,PC0000_0156,C Matrix,4/15/2018,11:00:00 PM,dark,1,1,Rain throughout point count
153,18_04_15_4,PC0000_0157,C Matrix,4/16/2018,12:00:00 AM,dark,1,1,NA
154,18_04_15_5,PC0000_0158,C Matrix,4/16/2018,01:00:00 AM,dark,1,1,NA
155,18_04_15_6,PC0000_0159,C Matrix,4/16/2018,02:00:00 AM,dark,1,1,NA
156,18_04_16_1,PC0000_0160,C10 621,4/16/2018,09:00:00 PM,dark,1,1,NA
157,18_04_16_2,PC0000_0161,C10 621,4/16/2018,10:00:00 PM,dark,1,1,NA
158,18_04_16_3,PC0000_0162,C10 621,4/16/2018,11:00:00 PM,dark,1,1,NA
159,18_04_16_4,PC0000_0163,C10 621,4/17/2018,12:00:00 AM,dark,1,1,NA
160,18_04_16_5,PC0000_0164,C10 621,4/17/2018,01:00:00 AM,dark,1,1,NA
161,18_04_16_6,PC0000_0165,C10 621,4/17/2018,02:00:00 AM,dark,1,1,NA
162,18_04_17_1,PC0000_0166,Riparian 1,4/17/2018,09:15:00 PM,dark,1,1,NA
163,18_04_17_2,PC0000_0167,Riparian 1,4/17/2018,10:00:00 PM,dark,1,1,NA
164,18_04_17_3,PC0000_0168,Riparian 1,4/17/2018,11:00:00 PM,dark,1,1,NA
165,18_04_17_4,PC0000_0169,Riparian 1,4/18/2018,12:00:00 AM,dark,1,1,NA
166,18_04_17_5,PC0000_0170,Riparian 1,4/18/2018,01:00:00 AM,dark,1,1,NA
167,18_04_17_6,PC0000_0171,Riparian 1,4/18/2018,02:00:00 AM,dark,1,1,NA
168,18_04_26_1,PC0000_0172,D Matrix,4/26/2018,03:05:00 AM,dark,0,1,NA
